procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  2 931436 1246504 114988 3443640    5   15   122   137 1418   23  4  2 94  0  0  0
51  0 931436 1157168 114988 3441772    0    0     0  1288 10105 44755  8  7 85  0  0  0
51  0 931436 1162140 114988 3441856    0    0     0     0 26371 179785 14  7 79  0  0  0
53  0 931436 1155436 114988 3441856    0    0     0     0 26935 181161 13  8 79  0  0  0
52  0 931436 1150488 115008 3441724    0    0     0   104 26977 181158 14  7 79  0  0  0
51  0 931436 1151012 115008 3441920    0    0     0     0 27075 179223 14  7 79  0  0  0
52  0 931436 1149996 115008 3441920    0    0     0    16 26038 178402 14  7 79  0  0  0
52  0 931436 1150828 115008 3441832    0    0     0     0 24472 176021 14  7 79  0  0  0
52  0 931436 1152112 115008 3441836    0    0     0     0 25316 179723 13  7 80  0  0  0
50  0 931436 1152692 115016 3442072    0    0     0    28 26878 180751 13  7 79  0  0  0
52  0 931436 1154244 115024 3442032    0    0     0   172 27262 182097 13  8 79  0  0  0
 2  0 931436 1156868 115024 3442032    0    0     0     0 28642 182883 13  8 79  0  0  0
52  0 931436 1154796 115040 3442076    0    0     0   436 27093 180864 13  7 80  0  0  0
50  0 931436 1155056 115040 3442076    0    0     0     0 29232 182019 14  7 79  0  0  0
51  0 931436 1151864 115040 3441872    0    0     0     0 27372 181857 14  7 79  0  0  0
52  0 931436 1150460 115048 3442004    0    0     0    32 24138 173148 14  7 79  0  0  0
53  0 931436 1148228 115048 3442016    0    0     0     0 26679 179364 13  8 80  0  0  0
34  0 931436 1154588 115056 3442020    0    0     0    12 26639 179805 14  7 79  0  0  0
52  0 931436 1154392 115056 3442020    0    0     0     0 28486 182712 13  8 79  0  0  0
50  0 931436 1149884 115056 3442332    0    0     0     0 27798 180660 14  7 79  0  0  0
52  0 931436 1151132 115056 3442092    0    0     0     0 27171 181840 14  7 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
50  0 931436 1149084 115064 3442108    0    0     0    16 28491 181399 14  7 79  0  0  0
12  0 931436 1147928 115072 3442628    0    0     0    32 27999 181154 14  7 79  0  0  0
52  0 931436 1144300 115072 3442608    0    0     0     0 26911 181739 13  7 79  0  0  0
51  0 931436 1141736 115072 3442320    0    0     0     0 25184 176361 13  7 80  0  0  0
52  0 931436 1142944 115104 3442292    0    0     0   192 26586 179096 13  8 79  0  0  0
51  0 931436 1138976 115112 3442292    0    0     0    20 26602 178454 13  7 80  0  0  0
51  0 931436 1138608 115112 3442292    0    0     0   400 27580 179534 13  8 79  0  0  0
 8  0 931436 1138852 115112 3442292    0    0     0     0 28693 183647 13  7 80  0  0  0
52  0 931436 1135500 115112 3442296    0    0     0     0 25221 176310 14  7 79  0  0  0
52  0 931436 1133840 115120 3442216    0    0     0   128 26810 178246 13  8 79  0  0  0
54  0 931436 1134472 115128 3442188    0    0     0    24 24631 177694 12  8 79  0  0  0
54  0 931436 1143704 115128 3442284    0    0     0    48 25907 176687 14  7 80  0  0  0
50  0 931436 1144592 115128 3442300    0    0     0     0 27226 179794 13  7 79  0  0  0
52  0 931436 1143492 115128 3442448    0    0     0     0 26443 177221 13  8 79  0  0  0
51  0 931436 1138188 115136 3442464    0    0     0    24 25464 177405 12  8 80  0  0  0
50  0 931436 1142436 115136 3442472    0    0     0     0 27716 181109 13  8 78  0  0  0
51  0 931436 1141728 115144 3442536    0    0     0    16 26872 178707 14  7 79  0  0  0
51  0 931436 1142424 115160 3442520    0    0     0    88 25005 178518 13  7 80  0  0  0
51  0 931436 1140708 115176 3442564    0    0     0    72 26864 180030 14  6 80  0  0  0
52  0 931436 1141080 115176 3442572    0    0     0    48 26351 179491 13  8 79  0  0  0
54  0 931436 1139200 115176 3442444    0    0     0     0 29162 181147 14  7 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
51  0 931436 1138044 115184 3442444    0    0     0    16 27137 180481 13  8 80  0  0  0
52  0 931436 1139596 115184 3442448    0    0     0     0 27553 180288 14  7 79  0  0  0
50  0 931436 1134620 115192 3442372    0    0     0    12 26483 179968 13  8 79  0  0  0
54  0 931436 1135892 115192 3442688    0    0     0     0 26583 179900 14  7 79  0  0  0
