procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1 2059464 573644  47160 3346376    5   18    99   213 1552   29  4  2 94  0  0  0
29  0 2059464 532112  47164 3345752    0    0   124  1312 9907 47895  8  7 86  0  0  0
23  0 2059464 538936  47164 3348360    0    0     0    24 15256 78031 10  7 82  0  0  0
24  0 2058440 556576  47636 3333104 1000    0  1424   236 15544 76522 10  7 83  0  0  0
23  0 2058440 566148  47636 3333732    0    0     8    84 16035 79596 10  7 83  0  0  0
30  0 2058440 552288  47636 3333728    0    0     0     8 16061 79565 11  7 82  0  0  0
30  0 2058440 549992  47656 3333632    0    0     0   584 15287 76866  9  7 83  0  0  0
31  0 2058440 551844  47664 3329644    0    0     0    88 14347 76658  9  6 85  0  0  0
27  0 2058440 557588  47672 3332648    0    0     0   324 15906 80415 11  7 82  0  0  0
 1  0 2058440 543308  47672 3334340    0    0     0   256 16011 82387 11  7 82  0  0  0
30  0 2058440 542180  47672 3334644    0    0     0     0 15935 80161 11  6 82  0  0  0
 0  0 2058440 595632  47672 3343704    0    0    12     8 9242 46337  6  4 89  0  0  0
 0  0 2058440 597412  47680 3340400    0    0    68   356  601  705  0  0 100  0  0  0
 0  0 2058440 596444  47688 3340580    0    0     0   448  605  577  0  0 99  0  0  0
 0  0 2058440 600136  47688 3326460    0    0    24     0 1065 2397  1  0 99  0  0  0
 0  0 2058440 607320  47688 3326524    0    0     0     0 2167 5060  1  1 98  0  0  0
 0  0 2058440 597372  47700 3326944    0    0     4   600 1957 4221  1  0 98  0  0  0
 0  0 2058440 611344  47700 3327044    0    0     0    24  652  839  1  0 99  0  0  0
 1  0 2058440 604328  47708 3340696    0    0     0    72 1240 1990  1  0 99  0  0  0
 1  0 2058440 594724  47724 3341052    0    0     0   380  653  661  1  0 99  0  0  0
 0  0 2058440 588416  47724 3339148    0    0     0     0 1140 1668  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 2058440 608428  47724 3315968    0    0     0    84 1200 1774  1  0 99  0  0  0
 0  0 2058440 610188  47724 3316056    0    0     0   256  486  537  0  0 100  0  0  0
 0  0 2058440 606664  47732 3316132    0    0     0    28  695  947  0  0 99  0  0  0
 0  0 2058440 604436  47740 3317408    0    0     0   160 1159 1852  1  0 99  0  0  0
 0  0 2058440 609452  47756 3315636    0    0     0   368 1068 1457  0  0 99  0  0  0
 0  0 2058440 621144  47756 3310456    0    0     0     0 1055 1620  0  0 99  0  0  0
 0  1 2058440 626600  47772 3310688    0    0     0    84  743 1110  1  0 99  0  0  0
 1  0 2058440 626848  47780 3310980    0    0     0   324  814 1184  1  0 99  0  0  0
 1  0 2058440 628104  47796 3311120    0    0     0   392  832 1114  0  0 99  0  0  0
 0  0 2058440 626268  47796 3311208    0    0     0    24  777 1067  0  0 99  0  0  0
 0  0 2058440 627028  47796 3311052    0    0     0     0 1395 2519  1  0 99  0  0  0
 0  0 2058440 628136  47812 3311192    0    0     0   396  749  892  0  0 99  0  0  0
 0  0 2058440 622276  47812 3311140    0    0     0     4  727  930  0  0 99  0  0  0
 0  0 2058440 621136  47820 3311228    0    0     0    28  858 1227  1  0 99  0  0  0
 0  0 2058440 621420  47820 3311388    0    0     0   256  492  529  0  0 100  0  0  0
 0  0 2058440 616064  47840 3311596    0    0    12   444  887 1185  1  0 99  0  0  0
 0  0 2058440 613400  47840 3311840    0    0     0     0 1164 1690  1  0 99  0  0  0
 0  0 2058440 616244  47840 3309908    0    0    84   308 1152 1449  1  0 98  0  0  0
 0  0 2058440 621732  47848 3310356    0    0     0   140  956 1410  1  0 99  0  0  0
 0  0 2058440 617992  47848 3312296    0    0     0     0 1157 1787  1  0 99  0  0  0
 0  0 2058440 617204  47860 3312168    0    0     0   356  681  851  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 2058440 614572  47860 3312204    0    0     0   180 1272 1803  1  0 99  0  0  0
17  0 2058440 590032  47860 3316464    0    0     0  3256 9232 19491  5  5 90  0  0  0
 1  0 2058440 583796  47868 3318824    0    0     0   220 36080 213312  7  4 88  0  0  0
 2  0 2058440 604300  47884 3308624    0    0     0   420 38742 233322  8  4 89  0  0  0
 1  0 2058440 596236  47908 3302956    4    0   108  1568 38516 230614  7  4 88  0  0  0
 1  0 2058440 606600  47924 3303192    0    0     0   116 38375 232017  7  4 89  0  0  0
 2  0 2058440 607480  47924 3303108    0    0     0   284 38473 232567  7  4 89  0  0  0
 0  0 2058440 624444  47940 3319960    0    0     0   176 4004 20083  1  1 98  0  0  0
 0  0 2058440 629396  47940 3309900    0    0     0     0  546  655  0  0 99  0  0  0
 0  0 2058440 629864  47940 3309812    0    0     0   464  817 1103  1  0 99  0  0  0
 0  0 2058440 629988  47940 3310144    0    0     0    12  722 1088  0  0 99  0  0  0
 0  0 2058440 631820  47940 3310300    0    0     0     0 1351 2263  1  0 99  0  0  0
 0  0 2058440 638980  47956 3303672    0    0     0   420 1341 2422  1  0 99  0  0  0
